# Copyright (c) 1966-2016 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2016-10-12
# This file provides links between the genes in OMIM and other gene identifiers.
# THIS IS NOT A TABLE OF GENE-PHENOTYPE RELATIONSHIPS.
# MIM Number	MIM Entry Type (see FAQ 1.3 at https://omim.org/help/faq)	Entrez Gene ID (NCBI)	Approved Gene Symbol (HGNC)	Ensembl Gene ID (Ensembl)
100050	predominantly phenotypes			
100070	phenotype	100329167		
100100	phenotype			
100200	predominantly phenotypes			
100300	phenotype			
100500	moved/removed			
100600	phenotype			
100640	gene	216	ALDH1A1	ENSG00000165092,ENST00000297785
100650	gene/phenotype	217	ALDH2	ENSG00000111275,ENST00000261733
100660	gene	218	ALDH3A1	ENSG00000108602,ENST00000225740
100670	gene	219	ALDH1B1	ENSG00000137124,ENST00000377698
100675	predominantly phenotypes			
100678	gene	39	ACAT2	ENSG00000120437,ENST00000367048
100680	moved/removed			
100690	gene	1134	CHRNA1	ENSG00000138435,ENST00000348749
100700	predominantly phenotypes			
100710	gene	1140	CHRNB1	ENSG00000170175,ENST00000306071
100720	gene	1144	CHRND	ENSG00000135902,ENST00000258385
100725	gene	1145	CHRNE	ENSG00000108556,ENST00000293780
100730	gene	1146	CHRNG	ENSG00000196811,ENST00000389494
100735	moved/removed			
100740	gene	43	ACHE	ENSG00000087085,ENST00000241069
100790	gene	429	ASCL1	ENSG00000139352,ENST00000266744
100800	phenotype			
100820	phenotype			
100850	gene	50	ACO2	ENSG00000100412,ENST00000216254
100880	gene	48	ACO1	ENSG00000122729,ENST00000309951
100900	moved/removed			
101000	phenotype			
101120	predominantly phenotypes			
101200	phenotype			
101400	phenotype			
101600	phenotype			
101800	phenotype			
101805	predominantly phenotypes			
101840	predominantly phenotypes			
101850	phenotype			
101900	phenotype			
102000	predominantly phenotypes			
102100	phenotype			
102150	phenotype			
102200	phenotype			
102300	phenotype	192142		
102350	phenotype			
102370	phenotype			
102400	predominantly phenotypes			
102480	gene	49	ACR	ENSG00000283539,ENST00000636109
102490	moved/removed			
102500	phenotype			
102510	phenotype	414058		
102520	predominantly phenotypes			
102525	gene	56	ACRV1	ENSG00000134940,ENST00000533904
102530	phenotype			
102540	gene	70	ACTC1	ENSG00000159251,ENST00000290378
102545	gene	72	ACTG2	ENSG00000163017,ENST00000345517
102550	moved/removed			
102560	gene	71	ACTG1	ENSG00000184009,ENST00000331925
102565	gene	2318	FLNC	ENSG00000128591,ENST00000325888
102570	moved/removed			
102573	gene	88	ACTN2	ENSG00000077522,ENST00000366578
102574	gene/phenotype	89	ACTN3	ENSG00000248746,ENST00000513398
102575	gene	87	ACTN1	ENSG00000072110,ENST00000193403
102576	gene	90	ACVR1	ENSG00000115170,ENST00000263640
102577	gene	5984	RFC4	ENSG00000163918,ENST00000296273
102578	gene	5371	PML	ENSG00000140464,ENST00000268058
102579	gene	5981	RFC1	ENSG00000035928,ENST00000381897
102581	gene	92	ACVR2A	ENSG00000121989,ENST00000241416
102582	gene	6774	STAT3	ENSG00000168610,ENST00000264657
102590	predominantly phenotypes			
102593	gene	313	AOAH	ENSG00000136250,ENST00000617537
102595	gene	98	ACYP2	ENSG00000170634,ENST00000394666
102600	gene	353	APRT	ENSG00000198931,ENST00000378364
102610	gene	58	ACTA1	ENSG00000143632,ENST00000366684
102620	gene	59	ACTA2	ENSG00000107796,ENST00000224784
102630	gene	60	ACTB	ENSG00000075624,ENST00000331789
102640	moved/removed			
102642	gene	6646	SOAT1	ENSG00000057252,ENST00000367619
102645	gene	327	APEH	ENSG00000164062,ENST00000296456
102650	predominantly phenotypes			
102660	predominantly phenotypes			
102670	gene	8174	MADCAM1	ENSG00000099866,ENST00000346144
102680	gene	118	ADD1	ENSG00000087274,ENST00000398129
102681	gene	119	ADD2	ENSG00000075340,ENST00000264436
102699	predominantly phenotypes	17	AAVS1	
102700	phenotype			
102710	moved/removed			
102720	gene	1803	DPP4	ENSG00000197635,ENST00000360534
102730	predominantly phenotypes			
102750	gene	132	ADK	ENSG00000156110,ENST00000286621
102770	gene	270	AMPD1	ENSG00000116748,ENST00000520113
102771	gene	271	AMPD2	ENSG00000116337,ENST00000342115
102772	gene	272	AMPD3	ENSG00000133805,ENST00000396554
102775	gene	134	ADORA1	ENSG00000163485,ENST00000367236
